"pmid","doi","authors","year","articletitle","journal","volume","issue","pages","abstract","meshHeadings","chemNames","grantAgency","grantNumber","grantCountry","nctID","ptype"
"35530966","10.21037/atm-22-981","Dai G|Ou J|Wu B","2022","A predictive study of metabolism reprogramming in cervical carcinoma.","Ann Transl Med","10","7","414","Metabolic reprogramming has been identified as a hallmark of cancer, influencing the immunity in the tumor microenvironment. Because of the high-heterogeneity of cervical carcinoma, we aim to figure out the metabolic subtypes of cervical carcinoma indicating the prognosis.|We profiled the distinct metabolic signatures using data from transcriptomes obtained from The Cancer Genome Atlas (TCGA) and Gene Expression Omnibus (GEO) datasets. Bioinformatics analyses were conducted to identify the possible biomarkers of overall survival and chemotherapy resistance.|Immune infiltration was closely related to metabolic pathways, especially in the carbohydrate pathway and the lipid and energy pathway. Two distinct clusters of differentially expressed genes were identified. Six genes were selected as possible indicators of prognosis, including ELK3, BIN2, MEI1, CCR7, CYP4F12, and DUOX1, relating to the immune status of tumor microenvironment. Under the risk score model based on metabolic genes, the high-risk group showed significantly lower survival (HR =6.802, with 95% CI: 3.637-12.721, P<0.0001), higher possibility of chemotherapy resistance, and higher infiltration of anti-tumor immune cells compared to the low-risk group.|Metabolic reprogramming, especially in the carbohydrate pathway and the lipid and energy metabolic pathway, is associated with the immune cell microenvironment, which is crucial for the prognosis of Invasive cervical carcinoma (ICC), providing potential therapeutic targets in clinic.","NA","NA","NA","NA","NA","NA","Journal Article"
"35491469","10.1111/jog.15265","Zhang L|Nan F|Yang L|Dong Y|Tian Y","2022","Differentially expressed EREG and SPP1 are independent prognostic markers in cervical squamous cell carcinoma.","J Obstet Gynaecol Res","48","7","1848-1858","Cervical squamous cell carcinoma (SCC) is one of the most frequent malignancies of the female reproductive system. The malignant mechanism of SCC has not been totally clarified. We aimed to discover a list of differentially expressed genes (DEGs) to identify the malignant mechanism of cervical SCC.|Three expression chips (GSE7803, GSE9750, and GSE64217) were downloaded from gene expression omnibus (GEO) datasets. After standardization, 50 cervical SCC tumor tissues and 33 normal cervical tissues (NCTs) were included for DEGs and clustering analysis. RobustRankAggreg (RRA) algorithm was used to extract the overlapping DEGs. Gene function and signaling pathway analysis was implemented based on Gene Ontology (GO) and Kyoto Encyclopedia of Genes and Genomes (KEGG) pathway databases. Protein-protein interaction (PPI) analysis and prognostic analysis were also carried out to identify the DEGs as prognostic markers for cervical SCC.|Totally 100 DEGs were obtained from GSE7803, 319 DEGs from GSE9750, and 1639 DEGs from GSE64217. RRA analysis uncovered 17 upregulated DEGs and 25 downregulated DEGs. GO and KEGG analysis showed DEGs were involved in the mediation of extracellular functions, cell-cell interactions, and cell metabolism. PPI network showed a close interaction among the integrated DEGs. Prognostic analysis showed gene secreted phosphoprotein 1 (SPP1) and epiregulin (EREG) genes were independent prognostic predictors of cervical SCC.|The gene expression profile was changed in cervical SCC tumor tissues compared to NCTs. SPP1 and EREG were postulated as prognostic markers for cervical SCC, which might be potential targets for clinical therapy of cervical SCC.","Biomarkers, Tumor|Carcinoma, Squamous Cell|Computational Biology|Epiregulin|Female|Gene Expression Profiling|Gene Expression Regulation, Neoplastic|Gene Ontology|Gene Regulatory Networks|Humans|Osteopontin|Prognosis|Protein Interaction Maps|Uterine Cervical Neoplasms","Biomarkers, Tumor|EREG protein, human|Epiregulin|SPP1 protein, human|Osteopontin","Shandong University","NA","","NA","Journal Article"
"35486636","10.1371/journal.pone.0267108","Deng ZM|Chen GH|Dai FF|Liu SY|Yang DY|Bao AY|Cheng YX","2022","The clinical value of miRNA-21 in cervical cancer: A comprehensive investigation based on microarray datasets.","PLoS One","17","4","e0267108","Previous work has demonstrated that the expression of microRNA-21 (miR-21) is implicated in cervical cancer (CC). However, little is known regarding its associations with clinical parameters. We first conducted a meta-analysis using data from Gene Expression Omnibus (GEO) microarrays and The Cancer Genome Atlas (TCGA). Then, enrichment analysis and hub gene screening were performed by bioinformatic methods. Finally, the role of the screened target genes in CC was explored. According to the meta-analysis, the expression of miR-21 in cancer tissues was higher than in adjacent nontumor tissues (P < 0.05). In addition, 46 genes were predicted as potential targets of miR-21. After enrichment analyses, it was detected that these genes were enriched in various cancer pathways, including the phosphatidylinositol signaling system and mammalian target of rapamycin (mTOR) signaling pathway. In this study, bioinformatic tools and meta-analysis validated that miR-21 may function as a highly sensitive and specific marker for the diagnosis of CC, which may provide a novel approach to the diagnosis and treatment of CC.","Computational Biology|Female|Gene Expression Profiling|Gene Expression Regulation, Neoplastic|Humans|MicroRNAs|Uterine Cervical Neoplasms","MIRN21 microRNA, human|MicroRNAs","NA","NA","NA","NA","Journal Article|Meta-Analysis|Research Support, Non-U.S. Gov't"
"35480115","10.3389/fonc.2022.865409","Wei C|Zhao Y|Ji T|Sun Y|Cai X|Peng X","2022","Cyclin-Dependent Kinase 6 Identified as the Target Protein in the Antitumor Activity of Tetrastigma hemsleyanum.","Front Oncol","12",NA,"865409","Tetrastigma hemsleyanum (T. hemsleyanum) is widely used as an adjuvant drug for tumor therapy but its antitumor therapeutic targets and molecular mechanisms have remained unclear. The prediction and analysis of natural products has previously used only network pharmacology methods to identify potential target proteins from public databases. In this study, we use comprehensive bioinformatics analysis and experimental verification to determine the antitumor mechanism of T. hemsleyanum.|Network pharmacology analysis was used to predict the potential in vivo target proteins of T. hemsleyanum. The expression matrix and clinical data to perform an analysis of hub genes were collected from the TCGA and GTEx databases, specifically the analysis of expression, prognosis, tumor immune cell infiltration analysis, immune checkpoint genes, microsatellite instability, tumor mutational burden, tumor neoantigen, and immune microenvironment, which identify the roles and biological functions of the hub genes in pan-cancer. Finally, gene set enrichment analysis was used to verify the biological processes and signaling pathways involved in the pan-cancer expression profile.|We found 124 potential in vivo target proteins of T. hemsleyanum through network pharmacological analysis, and five hub genes (AKR1C1, MET, PTK2, PIK3R1, and CDK6) were then screened by protein-protein interaction (PPI) network analysis and molecular complex detection analysis (MCODE). Experimental intervention with an aqueous extract of T. hemsleyanum verified that these hub genes are the target proteins involved in the regulation of T. hemsleyanum in cells. A pan-cancer analysis then confirmed that CDK6 and MET are potential targets upon which T. hemsleyanum may exert antitumor action, especially in ACC, CESC, LGG, and PAAD. The CDK6 protein targeted by T. hemsleyanum is also involved in the immune and mutation process of pan-cancer, especially in the regulation of immune cell infiltration, immune checkpoint gene expression, microsatellite instability, tumor mutation burdens, and tumor neoantigens. Together, these analyses show that T. hemsleyanum affects tumor immune regulation and genomic stability. Finally, a gene set enrichment analysis confirmed that T. hemsleyanum regulates the cell cycle checkpoint.|We found that T. hemsleyanum can behave as an antitumor agent by acting as a potential cell cycle checkpoint inhibitor in CDK6-driven tumors, such as ACC, CESC, LGG, and PAAD, and that it acts as a tyrosine kinase receptor inhibitor that inhibits the expression of the proto-oncogene MET. Combined with an analysis of immune and mutation correlations in pan-cancer, we determined that T. hemsleyanum may function biologically as an immune regulator and interfere with the stability of the tumor genome, which is worthy of further study.","NA","NA","NA","NA","NA","NA","Journal Article"
"35449547","10.3389/fsurg.2022.823566","Zheng Y|Meng XW|Yang JP","2022","Exploring Potential Regulatory Anesthetic Drugs Based on RNA Binding Protein and Constructing CESC Prognosis Model: A Study Based on TCGA Database.","Front Surg","9",NA,"823566","To investigate the differential expression of RBPs in cervical squamous cell carcinoma (CESC), analyze the regulatory effect of narcotic drugs on RBPs, and establish the prognostic risk model of CESC patients.|RNA-SEQ data and clinical case data of cancer and normal samples from CESC patients were obtained from the Cancer Genome Atlas (TCGA) database and Genotype-Tissue Expression (GTEx) database. Differentially expressed RBPs were screened by R language and enriched. The CMAP database is used to predict the anesthetic drugs that regulate the differential expression of RBPs. The prognostic risk score model was constructed by COX regression analysis. Risk score of each CESC patient was calculated and divided into high-risk group and low-risk group according to the median risk score. The prediction efficiency of prognostic risk model was evaluated by Kaplan-Meier (KM) analysis and receiver operating characteristic (ROC) curve, and the correlation between prognostic risk model and clinical characteristics was analyzed. Immunohistochemistry was used to detect the expression of RNASEH2A and HENMT1 in tissues.|There were 65 differentially expressed RBPs in CESC. Five anesthetics, including benzocaine, procaine, pentoxyverine, and tetracaine were obtained to regulate RBPs. Survival analysis showed that seven genes were related to the prognosis of patients, and the CESC risk score model was constructed by COX regression. The risk score can be used as an independent prognostic factor. RNASEH2A and HENMT1 are up-regulated in tumors, which can effectively distinguish normal tissues from tumor tissues.|It is found that different anesthetic drugs have different regulatory effects on the differential expression of RBPs. Based on the differentially expressed RBPs, the prognostic risk score model of CESC patients was constructed. To provide ideas for the formulation of individualized precise anesthesia scheme and cancer pain analgesia scheme, which is helpful to improve the perioperative survival rate of cancer patients.","NA","NA","NA","NA","NA","NA","Journal Article"
"35428744","10.12659/MSM.934799","Wang D|Liu Y|Cheng S|Liu G","2022","Identification of Novel Genes and Associated Drugs in Cervical Cancer by Bioinformatics Methods.","Med Sci Monit","28",NA,"e934799","BACKGROUND Cervical cancer is one of the common gynecological tumors that seriously harm women's health, so it is particularly important to accurately explore the underlying mechanism of its occurrence and clinical prognosis. MATERIAL AND METHODS In the GEO database, GEO2R was used to analyze the differentially expressed genes from the 4 databases: GSE6791, GSE9750, GSE63514, and GSE67522. Then, the DAVID website was used to perform Gene Ontology (GO) and Kyoto Encyclopedia of Genes and Genomes (KEGG) analyses. These protein-protein interaction (PPI) networks of DEGS were visualized and analyzed using the STRING website and the hub genes were further screened using the Cytohubba plugin. Lastly, the functions of the hub genes were further analyzed by Gene Expression Profiling Interactive Analysis (GEPIA) online tools, Human Protein Atlas (HPA) databases, and the QuartataWeb database. RESULTS In the 4 Profile datasets, 101 cancer tissues and 67 normal tissues were collected. Among the 78 differentially expressed genes in the 4 datasets, 51 genes were upregulated and 27 genes were downregulated. The PPIs of these differentially expressed genes were visualized using Cytoscape and the Interaction Gene Search Tool (STRING). Then, further analysis of hub genes using the GEPIA tool and Kaplan-Meier curves that showed upregulation of CDK1 and PRC1 is associated with better survival, while AURKA is associated with worse survival. Among these hub genes, only AURKA was closely related to the prognosis of cervical cancer, and 21 potential drugs were found. CONCLUSIONS These results suggest that AURKA and its drug candidates can improve the individualized diagnosis and treatment of cervical cancer in the future.","Aurora Kinase A|Biomarkers, Tumor|Computational Biology|Databases, Genetic|Female|Gene Expression Profiling|Gene Expression Regulation, Neoplastic|Gene Regulatory Networks|Humans|Protein Interaction Maps|Uterine Cervical Neoplasms","Biomarkers, Tumor|Aurora Kinase A","NA","NA","NA","NA","Journal Article"
"35389773","10.1080/21655979.2022.2061144","Wang C|Wang Y|Liu C|Meng X|Hang Z","2022","Kinetochore-associated protein 1 promotes the invasion and tumorigenicity of cervical cancer cells via matrix metalloproteinase-2 and matrix metalloproteinase-9.","Bioengineered","13","4","9495-9507","Cervical cancer, a common cancer in women, has become a serious social burden. Kinetochore-associated protein 1 (KNTC1) that regulates the cell cycle by regulating mitosis is related to the malignant behavior of different types of tumors. However, its role in the development of cervical cancer remains unclear. In this study, we initially explored the role of KNTC1 in cervical cancer. KNTC1 expression and relevant information were downloaded from The Cancer Genome Atlas (TCGA) and dataset GSE63514 in the Gene Expression Omnibus (GEO) database for bioinformatics analyses. Cell proliferation was detected by cell counting kit-8 (CCK8) and colony formation assays. Wound healing and Transwell assays were used to evaluate cell migration and invasion abilities. Protein expression levels of matrix metallopeptidase 2 (MMP2) and matrix metallopeptidase 9 (MMP9) were measured by western blotting. Nude mouse models of subcutaneous xenograft tumor were constructed to analyze tumor growth in vivo. CCK8 and colony formation assay results demonstrated that the proliferation rate of SiHa and C-33A cells decreased when KNTC1 was silenced. Western blot and Transwell assays indicated that KNTC1 knockdown weakened the invasion and migration abilities of SiHa and C-33A cells and decreased the expression of MMP-2 and MMP-9. In-vivo experiments suggested that the inhibition of KNTC1 reduced tumor growth. Taken together, our study showed that KNTC1 plays an important role in cervical cancer. Further, we verified the promotional effect of KNTC1 on cervical cancer through in-vivo and in-vitro experiments and speculated that KNTC1 might mediate tumor invasion via MMP9 and MMP2.","Animals|Cell Cycle Proteins|Cell Line, Tumor|Cell Movement|Cell Proliferation|Female|Gene Expression Regulation, Neoplastic|Humans|Matrix Metalloproteinase 2|Matrix Metalloproteinase 9|Mice|Microtubule-Associated Proteins|Uterine Cervical Neoplasms","Cell Cycle Proteins|KNTC1 protein, human|Microtubule-Associated Proteins|MMP2 protein, human|Matrix Metalloproteinase 2|MMP9 protein, human|Matrix Metalloproteinase 9","NA","NA","NA","NA","Journal Article"
"35279965","10.22074/cellj.2022.7914","Xu Y|Dong X|Ma B|Mu P|Kong X|Li D","2022","Circ_0000228 Promotes Cervical Cancer Progression via Regulating miR-337-3p /TGFBR1 Axis.","Cell J","24","2","91-98","This study aims to investigate the biological function of circular RNA (circRNA) circ_0000228 in the cervical cancer (CC).|In this experimental study, the GSE113696 dataset was downloaded from the Gene Expression Omnibus (GEO). GEO2R was employed to obtain differentially expressed circRNA between CC tissues and matched paracancerous tissues. Quantitative real-time polymerase chain reaction (qRT-PCR) and Western blot were employed to detect circ_0000228, microRNA-337-3p (miR-337-3p ) and transforming growth factor, beta receptor I (TGFBR1) expression levels in the CC tissues and cells. Following gain-of-function and loss-of-function models establishment, CCK-8 and BrdU tests were conducted to examine cell proliferation. Transwell experiment was executed to examine CC cells migration and invasion. A lung metastasis model was utilized to determine the ability of circ_0000228 on the lung metastasis. Bioinformatics analysis, dual-luciferase reporter experiment and RNA immunoprecipitation (RIP) assay were applied to verify the targeting relationship among miR-337-3p , circ_0000228, and TGFBR1.|Circ_0000228 expression in the CC tissues and cells was up-modulated. Circ_0000228 overexpression markedly enhanced cell proliferation, migration, and invasion, while knocking down circ_0000228 remarkably repressed cell proliferation, migration, and invasion. MiR-337-3p could be adsorbed by circ_0000228. TGFBR1 was identified as a target gene of miR-337-3p that indirectly and positively modulated bycirc_0000228 in the CC cells.|Circ_0000228 up-modulates TGFBR1 by targeting miR-337-3p to enhance CC cell proliferation, migration and invasion. Also, Circ_0000228 is a promising therapeutic target for the CC.","NA","NA","NA","NA","NA","NA","Journal Article"
"34834529","10.3390/jpm11111177","Yu SH|Cai JH|Chen DL|Liao SH|Lin YZ|Chung YT|Tsai JJP|Wang CCN","2021","LASSO and Bioinformatics Analysis in the Identification of Key Genes for Prognostic Genes of Gynecologic Cancer.","J Pers Med","11","11",NA,"The aim of this study is to identify potential biomarkers for early diagnosis of gynecologic cancer in order to improve survival. Cervical cancer (CC) and endometrial cancer (EC) are the most common malignant tumors of gynecologic cancer among women in the world. As the underlying molecular mechanisms in both cervical and endometrial cancer remain unclear, a comprehensive and systematic bioinformatics analysis is required. In our study, gene expression profiles of GSE9750, GES7803, GES63514, GES17025, GES115810, and GES36389 downloaded from Gene Expression Omnibus (GEO) were utilized to analyze differential gene expression between cancer and normal tissues. A total of 78 differentially expressed genes (DEGs) common to CC and EC were identified to perform the functional enrichment analyses, including gene ontology and pathway analysis. KEGG pathway analysis of 78 DEGs indicated that three main types of pathway participate in the mechanism of gynecologic cancer such as drug metabolism, signal transduction, and tumorigenesis and development. Furthermore, 20 diagnostic signatures were confirmed using the least absolute shrink and selection operator (LASSO) regression with 10-fold cross validation. Finally, we used the GEPIA2 online tool to verify the expression of 20 genes selected by the LASSO regression model. Among them, the expression of PAMR1 and SLC24A3 in tumor tissues was downregulated significantly compared to the normal tissue, and found to be statistically significant in survival rates between the CC and EC of patients (p < 0.05). The two genes have their function: (1.) PAMR1 is a tumor suppressor gene, and many studies have proven that overexpression of the gene markedly suppresses cell growth, especially in breast cancer and polycystic ovary syndrome; (2.) SLC24A3 is a sodium-calcium regulator of cells, and high SLC24A3 levels are associated with poor prognosis. In our study, the gene signatures can be used to predict CC and EC prognosis, which could provide novel clinical evidence to serve as a potential biomarker for future diagnosis and treatment.","NA","NA","Asia University|China Medical University Hospital","ASIA-108-CMUH-18|ASIA-108-CMUH-18","","NA","Journal Article"
"34797350","10.1097/MD.0000000000027931","Xu H|Chai SS|Lv P|Wang JJ","2021","CNN3 in glioma: The prognostic factor and a potential immunotherapeutic target.","Medicine (Baltimore)","100","46","e27931","Gliomas are the most intrinsic type of primary intracranial tumors. The protein encoded by The calponin 3 (CNN3) has been proven to be a member of the calponin family. Its relationships with cervical cancer, colorectal cancer, gastric cancer, and colon cancer have been emphasized by several studies. Our research aims to explore the prognosis value and immunotherapeutic targetability of CNN3 in glioma patients using bioinformatics approach.|CNN3 expression in glioma was analyzed based on GEO and TCGA datasets. Gene expression profiling with clinical information was employed to investigate the correlation between clinicopathological features of glioma patients and relative CNN3 expression levels. Survival analysis was conducted using Kaplan-Meier analysis and the Cox proportional-hazards regression model. Gene set enrichment analysis was conducted to select the pathways significantly enriched for CNN3 associations. Correlations between inflammatory activities, immune checkpoint molecules and CNN3 were probed by gene set variation analysis, correlograms, and correlation analysis.|CNN3 was enriched in gliomas, and high expression of CNN3 correlated with worse clinicopathological features and prognosis. Associations between CNN3 and several immune-related pathways were confirmed using a bioinformatics approach. Correlation analysis revealed that CNN3 was associated with inflammatory and immune activities, tumor microenvironment, and immune checkpoint molecules.|Our results indicate that high CNN3 expression levels predict poor prognosis, and CNN3 may be a promising immunotherapy target.","Adolescent|Adult|Aged|Aged, 80 and over|Child|Cyclins|Female|Gene Expression Regulation, Neoplastic|Glioma|Humans|Immune Checkpoint Proteins|Immunotherapy|Male|Middle Aged|Prognosis|Sequence Analysis, RNA|Tumor Microenvironment","CNNM3 protein, human|Cyclins|Immune Checkpoint Proteins","NA","NA","NA","NA","Journal Article"
"34778035","10.3389/fonc.2021.720447","Zhang S|Wan J|Chen M|Cai D|Xu J|Chen Q","2021","Tumor-Infiltrating CD8+ T Cells Driven by the Immune Checkpoint-Associated Gene IDO1 Are Associated With Cervical Cancer Prognosis.","Front Oncol","11",NA,"720447","Tumor-infiltrating immune cells, associated with tumor progression, are promising prognostic biomarkers. However, the relationship between levels of gene expression and that of immune cell infiltration in cervical cancer prognosis is unknown. In this study, three cervical cancer gene expression microarrays (GSE6791, GSE63678 and GSE55940) were obtained from the GEO database. The IDO1 gene was identified by differentially expressed gene screening. The gene expression profiles of TCGA and GTEx databases along with comprehensive bioinformatics analysis identified that the IDO1 gene was upregulated in cervical cancer with significant difference in expression at different N stages. In addition, it was also upregulated in HPV16 positive sample. The pan-cancer analysis identified that IDO1 was highly expressed in most cancers. TIMER analysis revealed that the expression of IDO1 in CESC shows positive correlation with CD8+ T cells, CD4+ T cells, neutrophils, dendritic cells. IDO1 expression showed remarkable positive correlation with all immune cell markers except M1 macrophages. CD8+ T cell infiltration GSEA results showed that IDO1 was mainly associated with tumor immune-related signaling pathways.","NA","NA","NA","NA","NA","NA","Journal Article"
"34759952","10.3389/fgene.2021.705851","Zheng G|Wang Z|Fan Y|Wang T|Zhang L|Wang M|Chen S|Jiang L","2021","The Clinical Significance and Immunization of MSMO1 in Cervical Squamous Cell Carcinoma Based on Bioinformatics Analysis.","Front Genet","12",NA,"705851","Objective: The genetic markers for the detection or treatment of cervical squamous cell carcinoma (CESC) are not yet complete. This study aimed to identify the role of MSMO1 (Alternative name: SC4MOL) in the occurrence and development of CESC. Methods: We evaluated the significance of MSMO1 expression in CESC by using analysis of a public dataset from the Cancer Genome Atlas (TCGA) and Gene Expression Omnibus (GEO) database. Oncomine and GEPIA2 were used to validate MSMO1 as an independent prognostic factor in CESC. Multiple tools were used to analyze the factors and functions associated with MSMO1, such as methylation, miRNA, and co-expressed genes. Furthermore, TIMER and TISIDB were used to study the relationship between MSMO1 expression and immunization in CESC. Results: MSMO1 was highly expressed in tumor specimens and could be used as an independent prognostic factor of CESC (p < 0.05). But Casiopeinas chemotherapeutics and p63 loss could reduce the expression of MSMO1. The level of methylation MSMO1 was significantly increased in tumor tissues but there was an insignificant effect on the prognosis. MSMO1 was also closely related to hsa-miR-23a-3p, hsa-miR-23b-3p, hsa-miR-130b-3p, and gene IDI1. Specifically, the expression level of MSMO1 had a significant negative correlation with the infiltration level of CD4+T cells, Macrophages, Neutrophils, and DCs in CESC. In addition, GSEA identified differential enrichment in systemic lupus erythematosus, vascular smooth muscle contraction, cytokine receptor interaction, focal adhesion, chemokine signaling pathway, and Leishmania infection pathway in KEGG. Conclusion: Our findings provide evidence of the implications of MSMO1 in tumors, suggesting that MSMO1 is a promising prognostic biomarker in CESC.","NA","NA","NA","NA","NA","NA","Journal Article"
"34690502","10.2147/IJGM.S330256","Zhang XQ|Li L","2021","Biological Function and Clinical Value of VPS13A in Pan-Cancer Based on Bioinformatics Analysis.","Int J Gen Med","14",NA,"6825-6838","Vacuolar protein sorting-associated protein 13A (VPS13A) has been shown to be associated with rhabdomyosarcoma, gastric cancer and ovarian cancer, but the pan cancer analysis of VPS13A is still lacking, and the bioinformatics function of VPS13A has not been studied yet.|We used TCGA and GEO databases to investigate the distribution, expression and prognosis of VPS13A in 33 tumors for the first time. We used TIMER2, ULCAN databases to obtain the expression differences of VPS13A in tumor tissues and corresponding normal tissues, and further obtain the gene expression in different pathological stages of tumors from the GEPIA database. Mutation types and survival analysis of VPS13A were obtained from cBioPortal database. The relationship between VPS13A and immune infiltration was explored using TIMER2. We used the String website to obtain VPS13A binding proteins and draw the protein-protein interaction network map. JVENN was used for cross analysis, and Kyoto Encyclopedia of Genes and Genomes (KEGG) and Gene Ontology (GO) were used for gene enrichment analysis.|VPS13A is highly expressed in most tumors, and gene expression is associated with prognosis in patients with tumors. The expression level of VPS13A was correlated with the infiltration depth of CD8+T cells in DLBC, LUAD, SKCM and TGCT, and was correlated with carcinoma-associated fibroblasts in BRCA, CESC, LIHC and THYM. Compared with normal tissue, VPS13A methylation levels were higher in some primary tumors. KEGG gene enrichment indicates that VPS13A is involved in RNA degradation, autophagy, cell senescence, cell cycle, apoptosis and other pathways.|VPS13A is closely related to the occurrence and progression of tumors and can be used as a biomarker for tumor screening and diagnosis. The level of VPS13A expression and the presence of mutations affect the prognosis of patients with certain cancers, which can be determined by early genetic testing.","NA","NA","NA","NA","NA","NA","Journal Article"
"34395525","10.3389/fmolb.2021.692120","Liu Y|Xue J|Zhong M|Wang Z|Li J|Zhu Y","2021","Prognostic Prediction, Immune Microenvironment, and Drug Resistance Value of Collagen Type I Alpha 1 Chain: From Gastrointestinal Cancers to Pan-Cancer Analysis.","Front Mol Biosci","8",NA,"692120","Background: Gastrointestinal cancers patients might experience multiple primary tumors in the digestive tract. Therefore, identifying potential biomarkers can help us better understand the underlying mechanism. From the GEO database, four profiles of gastrointestinal cancers were gathered for the screening process, and six hub genes were found by bioinformatics analysis. Collagen type I alpha 1 chain (COL1A1), one of the hub genes, is a component of the extracellular matrix and is critical for tumor microenvironment. However, the expression level, signaling pathway, prognostic prediction, and immunological value of COL1A1 in different cancers remain unclear. Methods: We comprehensively analyzed gene expression and genetic alteration patterns of COL1A1 among 33 types of malignancies from The Cancer Genome Atlas (TCGA) and the Genotype-Tissue Expression projects. Besides, we explored the correlation of COL1A1 with cancer prognosis, immune infiltrates, PD-L1, tumor mutational burden (TMB)/microsatellite instability status (MSI), and the pathway and drug sensitivity of co-expressed genes. Results: The results showed that COL1A1 was highly expressed and associated with poor prognosis in the majority of cancers. The most common alteration type of COL1A1 was missense mutation, and COL1A1 was associated with poor prognosis in KIRP, LGG, MESO, SKCM, and STAD. For the immunologic significance, COL1A1 expression was closely related to high TMB in THYM, LAML, ACC, KICH, PRAD, and LGG, and high MSI in TGCT, MESO, PRAD, COAD, SARC, and CESC. In addition, COL1A1 was positively correlated with the abundance of CAFs, macrophages, and tumor-infiltrating lymphocytes. However, it was negatively correlated with CD8+ T cells mainly in CESC, HNSC-HPV+, and SKCM. Besides, as a component of the extracellular matrix, COL1A1 was involved in the activation of epithelial-mesenchymal transition (EMT), and high expression of HTRA1 was resistant to multiple drugs. Conclusion: COL1A1 can serve as a prognostic and immunological biomarker in different cancers.","NA","NA","NA","NA","NA","NA","Journal Article"
"34291084","10.3389/fmolb.2021.679474","Yang H|Han X|Hao Z","2021","An Immune-Gene-Based Classifier Predicts Prognosis in Patients With Cervical Squamous Cell Carcinoma.","Front Mol Biosci","8",NA,"679474","Objective: Immunity plays a vital role in the human papilloma virus (HPV) persistent infection, and closely associates with occurrence and development of cervical squamous cell carcinoma (CSCC). Herein, we performed an integrated bioinformatics analysis to establish an immune-gene signature and immune-associated nomogram for predicting prognosis of CSCC patients. Methods: The list of immunity-associated genes was retrieved from ImmPort database. The gene and clinical information of CSCC patients were obtained from The Cancer Genome Atlas (TCGA) website. The immune gene signature for predicting overall survival (OS) of CSCC patients was constructed using the univariate Cox-regression analysis, random survival forests, and multivariate Cox-regression analysis. This signature was externally validated in GSE44001 cohort from Gene Expression Omnibus (GEO). Then, based on the established signature and the TCGA cohort with the corresponding clinical information, a nomogram was constructed and evaluated via Cox regression analysis, concordance index (C-index), receiver operating characteristic (ROC) curves, calibration plots and decision curve analyses (DCAs). Results: A 5-immune-gene prognostic signature for CSCC was established. Low expression of ICOS, ISG20 and high expression of ANGPTL4, SBDS, LTBR were risk factors for CSCC prognosis indicating poor OS. Based on this signature, the OS was significantly worse in high-risk group than in low-risk group (p-value < 0.001), the area under curves (AUCs) for 1-, 3-, 5-years OS were, respectively, 0.784, 0.727, and 0.715. A nomogram incorporating the risk score of signature and the clinical stage was constructed. The C-index of this nomogram was 0.76. AUC values were 0.811, 0.717, and 0.712 for 1-, 3-, 5-years OS. The nomogram showed good calibration and gained more net benefits than the 5-immune-gene signature and the clinical stage. Conclusion: The 5-immune-gene signature may serve as a novel, independent predictor for prognosis in patients with CSCC. The nomogram incorporating the signature risk score and clinical stage improved the predictive performance than the signature and clinical stage alone for predicting 1-year OS.","NA","NA","NA","NA","NA","NA","Journal Article"
